篇名	作者	页数	关键词	摘要	filename
自动化三议	王绍平:08521993	2	 	"<正> 自从70年代刘国钧先生把""马尔克格式""(机读格式)介绍到国内以来,我国的图书馆自动化事业走过了20年的历程,现在已经有几百所图书馆购置了计算机,并且研制出了上百个自动化系统。尽管同世界上发达国家相比,我国的图书馆自动化水平仍然存在相当大的差距,但因我们的起点低、底子薄,能有这样的成绩是值得欣喜与骄傲的。不过在欣喜与骄傲之余尚有几分忧虑,诉诸笔端,合为""三议"",求教于各位同行。 "	SHGT199502024
图书馆集成管理系统的发展趋势及选型	钱力平:08634626	3	 	"<正> 本文拟从图书馆集成管理系统发展趋势角度,谈谈在选择、改进和完善图书馆自动化系统模式时需要把握的几个基本方面,以利于今后自动化系统能获得不断升级和发展、避免投资损失,也有利于各个图书馆自动化系统都能朝着最具有发展前景的自动化模式靠拢,进而实行地区性图书馆联网,实现图书情报资源的共建、共享。 "	SHGT199502025
英国剑桥藏本《桔录》题记	钱存训:10313964	3	 	"<正> 年前游欧,在英国剑桥大学李约瑟(Dr.Joseph Needham)教授书斋中见其所藏《桔录》三卷,半叶十二行,行二十字,左右双栏,自口,板心有字,黄纸,金镶玉装一册。书签题""宋淳熙本桔录""。下端有""吴郡文献展览会审定孤本之一""方记。书套签题""来椠桔录"",有小字注云:""南宋初佳刻,薄纸精印,何义门、黄荛圃递藏,并手跋自藏,目罕见,诚宋刊中之逸品也。甲戌七月重装""。后有""芸洲""图记。据李氏在书套内所记,此书系1946年12月3日购自上海,为其所藏东亚科学史书库中镇库之一宝,1960年7月间曾参加英国美术协会举办之""宋代美术展览"",为其中展出唯一宋代印刷品云云。 "	SHGT199502026
复旦大学图书馆举行90周年校庆学术报告会		1	 	"<正> 为庆祝建校90周年,复旦大学图书馆于1995年5月26及27日,特邀美国加州大学洛杉矶分校(UCLA)图书馆馆长沃纳女士(G.WERNER)和东亚馆馆长郑炯文先生、北京大学图书馆前馆长庄守经先生及自动化部主任董成泰先生,及国家教委高教司邢西武同志来馆作学 "	SHGT199502027
《吉林成氏家谱》述略	卢光绵:12762743	1	 	"<正> 《吉林成氏家谱》是吉林省图书馆庋藏家谱中反映吉林地方人物的仅有两件之一,全书十卷,清末族人成荣泰辑录,成多禄订补,清宣统二年(1910)印本。成荣泰,又名镐,字保卿,行三;生于清嘉庆二十五年(1820),卒于光绪十三年(1887),享年七十有八,曾授骑尉公子乌拉总管衙门,六品骁骑校。成多禄,荣泰之子,原名恩龄,字竹山,号澹厂、澹湛。生于清同治二年(1863),卒于民国十七年(1928)。光绪十一年(1885)拔贡,三十二年(1906)以候选同知补黑龙江绥化府知府,与黑龙江副都统将军程德全有昆季盟。民国初被举为众议院议员,旋任教育部审核处处长,兼教育部图书馆副馆长,著有《澹堪诗草》二卷。 "	SHGT199502028
《四库全书总目》著录底本来源统计	樊美珍:03543405|冯春生:09453011	2	 	"<正> 《四库全书》为清乾隆朝修纂的一部大型古籍丛书。据中华书局本《四库全书总目》所载,《四库全书》著录之书有3461种,每书名下,除""钦定""、""敕撰""之本外,皆注明所据底本之来源。其中被《四库采进书目》及《纂修四库全书档案史料》所遗者为数不少。为考察当年征书之情形,弥补《采进》、《档案》之所缺,概见各家呈本采用之多寡,一览《四库全书》所据底本之总貌,笔者将《四库全书》所著录各书之来源查检一过,成""《四库全书总目》著录底本来源一览表""于后,并略述于下。 "	SHGT199502029
古籍题记选录(五)	吴丰培:10489829	2	 	"<正> 清李清纂《南北史合注》一百九十一卷,是一部久为研究者渴求而难得的史学名著,它与顾炎武《天下郡国利病书》、顾祖禹《读史方舆纪要》被称为清初三大奇书。顾炎武、顾祖禹所纂两书,流传很广,今已有标点本传世。而此书在清乾隆朝编纂《四库全书》时,原已定收录,故撰有提要。乾隆五十二年(1787),发现著者李清所撰《诸史同异录》六十八卷中有违碍言论。乾隆52年《起居注》云:""乾隆五十二年三月十九日丁亥,内阁奉上谕:四库全书处进呈续缮三分书,李清所撰《诸史同异录》书内称我朝世祖章皇帝与明崇祯四事相同,妄诞不经,阅之殊堪骇异。李清系明季职官,当明宗社沦亡,不能捐驱殉节;在本朝食毛践土,已阅多年,乃敢妄逞臆说,任意比拟。设其人尚在,必当立正刑诛,用彰宪典。今其身倖逃显戮,其所著书籍, "	SHGT199502030
全美第一家“无人管理书库”	沈正华:06257481	1	 	"<正> 美国加利福尼亚州州立大学共有十九所分校,洛杉矶的北里齐(Northridge)分校便是其中之一。该校在图书馆自动化方面颇具特色——拥有全美第一家无人管理书库。馆藏量的增长,使图书馆面临着空间紧张、人员短缺的状况。据统计,图书馆中80%的借阅量集中于20%的馆藏文献,而80%的藏书仅占日常流通量的20%。无人管理书库的设计思想,正是依据高频用书与低频用书这一状况分别储藏,并对后者进行有效管理。 "	SHGT199502031
海外剪报服务业一瞥	刘光中:09680025	2	 	"<正> 以现代经济学的观点来看,开发报纸信息源应是现代信息产业的一个重要方面。在海外,将报纸作为情报信息源来开发早已开始,1953年就成立了国际剪报组织—巴黎国际剪报服务联社(FIBEP)。有的国家在20年代就开始了剪报工作,持之以恒,一直坚持到现在。未来学家约翰·奈斯比特更是尝到了剪报的甜头,他的名著《大趋势—改变我们生活的十个新方向》,其内容广泛,数据详实的资料来源就是他的900万张剪报。下面介绍的一些国家和地区开展剪报工作和从事剪报服务业的情况,以期给从事情报信息源开发的同行们提供一点启示。 "	SHGT199502032
上海市高等学校图书馆大事记初稿(1949—1976)		3	 	"<正> 1994年夏暨南大学停办,文、法、商学院并入复旦大学,理学院并入交通大学。图书于1951年调给复旦大学、华东师范大学图书馆。 9月第二军医大学图书馆前身华东军区人民医学院图书馆成立。该馆1950年 10月曾改名上海军医大学图书馆,1951年7月改称第二军医大学图书馆。1950年6月私立中国纺织学院、私立上海纺织工业专科学校、私立诚孚纺织专科学 "	SHGT199502033
在“第二届全国高校图书馆自动化系统软件展示会暨学术研讨会”上的讲话	王富:20607006	1	 	"<正> 根据国家教委领导的指示,根据形势的发展以及实际需要,搞好高校图书馆自动化建设,尽快实现图书馆间的计算机联网,迫在眉睫,刻不容缓。国外专家学者有这个要求,国内也有这个实际需要。李岚清副总理多次讲到:我们是穷国办大教育,办学效益低,而有学校就有图书馆,现在图书馆利用率低,应该实行馆际协作,资源共享。目前有这样几个情况: "	SHGT199501000
向网络化迈进——第二届全国高校图书馆自动化研讨会随记	杨位平:16937469	2	 	"<正> 第二届全国高校图书馆自动化系统软件展示会暨学术研讨会,于1994年10月6—10日在上海交通大学包兆龙图书馆召开。会议由全国高校图工委董哲潜秘书长主持;国家教委条件装备司王富副司长莅会指导并作主导性发言;到会代表有23省市的代表154人;有20个单位在会上演示了本馆的自动化系统软件;有40多篇论文在大会宣读;可谓盛况空前。 "	SHGT199501001
记上海地区文献资源共建共享协作网	程德荣:22724099	2	 	"<正> 上海地区文献资源共建共享协作网于1994年3月14日举行了签字仪式,这标志着上海地区高校、科研、情报、公共四大系统的19家图书情报单位在走向文献资源共建共享和网络化建设方面迈出了可喜的一步。 "	SHGT199501002
复旦大学图书馆开放系统介绍	秦曾复:06701540	1	 	"<正> 一、概况复旦大学图书馆始建于1922年,现有馆舍面积2万平方米,藏书340万册,其中有中国古籍36万册,中文期刊1.2万种,1911～1949年代民国时期的中文旧平装图书收藏颇丰,已经出版的《民国丛书》前四编中有80%的底本由复旦大学图书馆提供;外文书籍75万册,外文期刊9000种,其中著名的德国克雷莱杂志即《纯粹与应用数学杂志》从1826年创刊至今168年全套收藏,为海内外罕见。 "	SHGT199501003
新的信息环境下的图书馆和图书馆情报学(上)	黄纯元:06592297	5	 	"<正> 1.引言图书馆活动的外部环境是一个多层次、互相关联的复合体,涉及到政治、经济、科学技术、文化等方面的环境。其中比较重要的是和图书馆直接有关的信息环境。信息环境的范围很广,主要涉及到人们信息处理和传递的方式方法,传递的途径,所依赖的技术,社会的信息基础结构等方面的情况。信息环境的变化会对图书馆活动产生直接的影响,在图书馆的发展史 "	SHGT199501004
现代图书馆的重新定位与信息服务		2	 	"<正> 近日,听到两条不如人意的消息。来自中图公司的简报指出:因价格连年上涨,有的图书馆外文期刊收藏品种已降至""文革""后期水平,个别的图书馆甚至比1973年还要少;另一条是来自湖北某高校图书馆的消息,该馆在两年内外流人员17人,全部为大专以上学历,其中本科9人、硕士3人。这两条消息意味着,曾经引人自豪的图书馆信息资源在进一步削弱,图书 "	SHGT199501005
图书馆与现代教育	陈曦红:07536403	2	 	"<正> 图书馆在现代教育中的地位和作用从信息论和系统论的观点看来,图书馆是以信息、知识、科学为内容,以文献为载体进行收集、加工、整文、贮存、选择、转化和传递,提供给读者共同使用的信息系统,是人类知识科学化、系统化、整体化反映的重要体现,是以知识信息提供给读者进行学习和研究的学术文化机构。而教育则是按照一定的目的要求,对受教育者的德、智、体等方面施以影响的一种有计划的社会活动,它是为适应传授生产劳动和社会 "	SHGT199501006
论高校图书馆的第二课堂作用	王晓夏:08008316	1	 	"<正> 高校图书馆是大学生的第二课堂的提法,由来已久,广及人心。但近两年来,图书馆界就高校图书馆的作用先后有两种观点又流行开来,一是""主课堂""论,一是""配角论"",使得""第二课堂""的说法变得模糊起来。笔者认为这不利于对高校图书馆作用的理解与明确。但是坚持第二课堂论,下述问题须要我们讨论并取得共识。一我们能说""高校图书馆是大学生的第二课堂"",却不能反过来说""大学生的第二课堂是高校图书馆""。 "	SHGT199501007
谈论我国编目资源共享	刘萍:10086941	3	 	"<正> LC光盘及OCLC光盘的引进,为我国图书馆编目界共享美国图书馆的编目资源创造了良好的条件。目前,我国一些大、中型图书馆已引进LC光盘及OCLC光盘用于各馆的西文文献编目,而大多数有计算机的图书馆则自己对西文文献进行机编。其中由北大图书馆牵头,利用LCMARC数据编制的西文图书联合目录产生的书目数据有22452条,加上各馆产生的书目记录,计算起来约有30—40万条(其中有相当数量的重复)。 "	SHGT199501008
图书馆学学术地位受到重视		1	 	"<正> 图书馆学是一门古老而又新颖的学科。多年来,图书馆学的学术地位不高,受人轻视。一些科学基金项目指南中竟然没有图书馆学的位置。随着图书馆学的发展,这一学科的学术价值开始受到国家有关部门的重视和肯定。80年代中期开始编纂的《中国大百科全书·图书馆学情报学档案学》卷,使图书馆学第一次与文学、历史学、哲学等一级学科并驾齐驱,从而 "	SHGT199501009
高校图书馆的信息开发与经营	方方:08484635	2	 	"<正> 高校图书馆要走向市场,并在市场上有立足之地,就现阶段而言,其本身加强信息的开发与经营,是至关重要的。这是因为当今的信息社会,对今后高校图书馆朝着信息产业化方向发展提出了要求。 "	SHGT199501010
把情报信息服务落到实处	严彬:08098329	1	 	"<正> 高校图书馆如果真正希望开展情报信息服务的话,必须是以与科技产品有关的服务为主要内容,把中小型企业作为主要服务对象,实实在在地做好一两件服务业务。 1.提供动态信息一般性企业需要开发产品,除了解产品的市场行情外,主要是从事技术性开发,了解哪 "	SHGT199501011
理工科高校中文社科期刊读者阅读倾向及特点	王丽芳:07529302	2	 	"<正> 一、前言本文试图通过对不同读者群的调查,分析理工类高校社科期刊读者的阅读倾向,探讨读者的阅读心理特征及其变化,以期为开拓读者工作的深度与广度提供参考依据。二、调查方法及数据处理为了解理工类高校不同读者群在社科期刊阅读活动中的倾向性及阅读心理变化规律,我们采用了随机性的大统计量的问卷调查。调查始于1993年3月4日,调查历时20天。 "	SHGT199501012
阅览室丛书子目分析片的制作与意义	李泽钦:06699755	1	 	"<正> 一、丛书子目分析片制作的意义复旦大学图书馆文科文献中心拥有中文图书十万余册,其中丛书约占了1/4。开式这部分宝贵的文献资源以利于读者的利用,是图书馆由被动服务转向主动服务的一个方面。自各国图书馆顺应时代的趋势,把传统的""被动服务""改变为""主动服务""以来,各馆的工作重心已从以采访、分类,编目、典藏、出纳为内容的技术服务转移到教育读者对图书馆的利用、指导阅读、编制书目与索引、咨询服务、馆际互借、推广宣 "	SHGT199501013
我馆实行“三阅合一”的两点收获	包和平:01544425	1	 	"<正> 改革开放给民族院校图书馆事业带来了勃勃生机,然而,由于书刊大幅度涨价,图书经费相对不足,使新书复本率每况愈下。这样使得藏与用的矛盾日益尖锐,新书的拒借率达70%左右,而读者的需求量却又不断增长。要解决这一矛盾,靠传统的服务模式巳很难适应,这就得调整传统的服务体系,而""三阅合一""的服务方式就是解决书刊与读者需求间矛盾的最好服务方式。所谓""三阅合一"",即书刊合一、师生合一、借阅合一。资料表明,国外图书馆基本上无复本书,采取全开架、自由型的借阅方式。现在""三阅合一""的 "	SHGT199501014
读者特色服务——我馆艺术沙龙介绍	张华沅:07547990	1	 	"<正> 华东师大图书馆新馆,设有一个艺术阅览室,宽敞明亮的长廊被辟为""艺术沙龙""。艺术沙龙是图书馆艺术阅览室的伸延,是为提供更多特色的读者服务工作而建立的。沙龙始于艺术阅览室倡导,由图书馆和艺术教育系联合举办,其中图书馆提供场地、设备、服务,艺术系供给美术展品。艺术沙龙于1990年底筹备,1991年1月正式举办。三年多来,根据艺术系学生美术创作情况,配合 "	SHGT199501015
近年来我国文献检索与利用的十大发展趋势	王世伟:07540474	3	 	"<正> 一、学科细分趋势 70年代末和80年代初,我国出版了一批文献检索与利用的著作,这批著作多以""文史工具书""或""中文工具书""作为书名,其内容包括文学、历史、哲学等社会科学的各个学科。如南京大学图书馆等单位编写的《文史哲工具书简介》(天津人民出版社1980年9月),原武汉大学图书馆学系编写组编写的《中文工具书使用法》《商务印书馆1982年3月)等。到了80年代中期,出现了一批以""社会科学文献检索与利用""和""科技文献检索"" "	SHGT199501016
“文检”课中普及情报检索语言知识教育的现状调查	周全明:21176378	3	 	"<正> 近十年来,""文检""课教学在我国各高等学校迅速普及,取得了可喜成绩,但也存在这样那样的问题和不足,其中,在""文检""课中普及情报检索语言知识教育是一个十分重要而又常常被忽视的问题。本文拟就这一问题进行调查、分析和探讨,以求引起人们的重视。 "	SHGT199501017
中文文献数据库中的规范档建设	沈宝顺:06699531	3	 	"<正> 一、中文文献数据库建立规范档的必要性近年来,在国外信息革命浪潮的冲击下,建立中文文献数据库在我国不仅已成为热门话题,而且已有一批图书情报单位付诸了行动。中文文献数据库的纷纷建立,其趋势必然是走向联网,从区域联网走向全国乃至全世界联网,通过建立线上机读联合目录等方式实现中文文献资源的共享。 "	SHGT199501018
“坦克装甲车辆专业文献数据库”叙词标引实践	赵庆元:21166372	3	 	"<正> 根据国家七五规划,由全国兵器系统的科研院所、工厂与国防军事单位联合建设兵器系统专业文献数据库。该库按专业划分为18个子库。我们参加了坦克装甲车辆专业子库的建库工作。坦克装甲车辆专业文献数据库现已输机文献记录二万多条,采用《国防科学技术叙词表》,遵循《兵器系统专业文献数据库文献标引规则》,对文献进行叙词标引。下面结合实践,对文献叙词标引中的有关问题进行探讨。 "	SHGT199501019
研究生毕业论文摘编(十六)		1	 	"<正> 郑樵、章学诚是中国目录学史上杰出的理论家和实践家。郑樵的《通志·校雏略》和章学诚的《校仇通义》又是中国古典目录学仅有的两部理论专著。郑樵首创目录学系理论,章学诚则继承发展了刘向、刘歆、郑樵的目录学思想成为中国传统目录学理论 "	SHGT199501020
林语堂对汉字索引法的贡献	周启付:07537789	4	 	"<正> 一林语堂(1855—1976)是著名的现代文学家、语言学家、国际文化名人,30年代即被称作""幽默大师""。他努力学习西方文化,并积极向外国介绍中国文化,从1929—1973年,共著英文书36本。他兴趣广泛,有强烈的求知欲(他称之为""探险精神"");知识面广,又善于独立思考、积极钻研,所以才取得多方面的巨大成就。林语堂1916年毕业于上海圣约翰大学,后在北京大学教英文,其时即在《科学》杂志上发表《创设汉字 "	SHGT199501021
试论《中国古籍分类法》的编制原则	林基鸿:09298878	2	 	"<正> 《中国古籍分类法》(以下简称《中古法》)的编制已被列为国家教委人文、社会科学八五规划项目,目前正由北京大学信息管理系承担研制。编制原则合理与否,是一部图书分类法成败之关键。《中古法》将采用什么样的编制原则,自然会引起着普遍关注。下面就这个问题发表几条意见,谨供讨论。一、实用性原则是图书分类法成功的要诀,《中古法》应将其贯彻始终。 "	SHGT199501022
论清高宗的目录学思想	徐有富:08044396	3	 	"<正> 《四库全书总目》(下简称《四库总目》)、《四库全书简明目录》(下简称《简明目录》),以及乾隆年间出现的许多禁毁书目,都是根据清高宗的目录学思想编成的,借助《四库总目》、《简明目录》,以宣传清朝的文治之盛,表彰和传播那些有利于清朝统治的书;又通过编禁毁书目来查缴和禁毁那些不利于清朝统治的书,其目的都是为了巩固清政权。高宗的目录学思想主要体现在以下几个方面: "	SHGT199501023
《平津馆鉴藏书籍记》的内容及其价值	黄明喜:07537007	3	 	"<正> 《平津馆鉴藏书籍记》,清乾嘉间著名学者孙星衍(1753—1818)撰。它是一部内容丰富的书目佳作,具有较高的学术价值,对我们现今的古籍整理研究颇有参考作用。一《平津馆鉴藏书籍记》(下简称《书籍记》),一名《平津馆鉴藏记书籍》,凡三卷,补遗一卷,续编一卷,共五卷。平津馆是孙星衍第二次官山东督粮道,驻节平原道之安德时的藏书处。孙星衍一生游学任官南北各地,所至皆穷搜力讨,不遗余力地聚收书籍,是一位颇负盛名的 "	SHGT199501024
近年来古籍版本学理论研究述评	周铁强:07548258	4	 	"<正> 古籍版本研究是一项实践性、经验性很强的工作。自古以来,学者们在版刻鉴别、版本源流等方面研究中取得了很大成绩,古籍版本研究从而表现为一门以丰富的实践经验为依托建立起来的学问,但由此也造成了古籍版本研究重实践、轻理论的倾向,使得此项研究未能及时在理论上加以总结提高,形成指导实践的理论体系。许多人狭隘地把古籍版本学视同版刻鉴别学,以为辨行格、纸墨、讳字、牌记、装订、款式、印章等就是古籍版本研究的全部内容。有少数人甚至把此项研究搞得玄而又玄,以为非得采用""观风望气""、 "	SHGT199501025
《四库全书》沪人著述辑录	王瑾:08457077|张梅秀:09166378	4	 	"<正> 《四库全书》是清代乾隆年间修纂的一部大型丛书,收入三千四百余种古代典籍,又有六千余种清代中叶以前的历代著述,也被《四库全书总目》著录。为从地域角度研究历代著述家之产生、著述之流传及著述之类型等,兹将《四库全书总目》披检一过,辑录其中所收之沪籍人士著述,以供研究者采摭。 "	SHGT199501026
上海市高等学校图书馆大事记初稿(1896—1949)	许俊生:11641399	3	 	"<正> 1897年南洋公学(1896年创办,1921年改名交通大学)藏书楼成立。1919年10月图书馆大楼建成。1898年南洋公学章程第六章藏书译书规定:""公学设一图书院,调取各省官刻图籍,其私家所刻及东西各国图籍;皆分别择要购置庋藏,学堂诸生阅看各书,照 "	SHGT199501027
国际信息公路暨医学光盘网络系统在第二军医大学图书馆开通		1	 	"<正> ""国际信息高速公路暨医学光盘网络系统开通典礼""1994年11月21日在第二军医大学图书馆举行,该馆从此告别了传统的检索方式,搭上了""信息高速公路""的快车。随着高科技的发展,一个兴建""信息高速公路""的热潮正在全世界兴起,该馆为适应时代的发展,在上海、全军医学院校中率先开通了Internet——国际计 "	SHGT199501028
“信息高速公路”与图书馆	平光明:21353601	2	 	"<正> 自从美国政府提出""信息高速公路""计划以后,已在全世界范围内掀起了继本世纪50年代开始大规模普及电话之后又一次信息革命的浪潮。世界许多国家都在密切关注,欧洲共同体、日本、南美洲国家、新加坡、韩 "	SHGT199404000
简讯		2	 	<正> 上海高校图工委期刊专业委员会成立大会暨第二届学术研讨会于1994年12月1日在复旦大学图书馆召开。市高教局、图工委、复旦大学领导、华东地区图工委代表及本市近50 	SHGT199404004
我看“信息高速公路”计划	殷晖华:06263280	2	 	"<正> 随着科学技术的发展,信息作为一种战略资源,在未来社会中的地位愈发重要。1993年9月,美国总统克林顿宣布了""美国全国信息基础设施""计划(简称NII),又称""信息高速公路""计划;1994年1月至2月间,日本以美国""信息高速公路""为蓝本,提出日本式""信息高速公路""设想;新加坡也计划和 "	SHGT199404001
我国“信息高速公路”发展战略刍议	周菁:06278723	1	 	"<正> 我国的信息产业发展水平,比世界发达国家约落后50年。日本的信息产业迅速崛起大约只花了10年(1962—1972),只相当于美国的五分之一,其中一个重要的原因就是日本抓住了60年代集成电路、计算机、通讯技 "	SHGT199404002
实施“信息高速公路”计划的条件	周艳:06279205	2	 	"<正> 一美国的""NII计划""中有这样一段文字:""国家信息基础结构具有广泛的含义,它不仅仅是指用于传递、贮存、处理和显示声音、数据及图像的物理设备……很大程度上依赖于它的其他‘元件’的质量…… "	SHGT199404003
也谈“高校图书馆专业集成化服务模式”	李芳:09595202	2	 	"<正> 首次提出""高校图书馆专业集成化服务模式""理论,并对其加以分析论证的是湖南师范大学图书馆馆员李熙同志。他认为,""图书馆研究领域中,有一个极少被人提及或者说被遗忘的角落,就是图书馆业务系统的分工模式与图书馆服务水平之间关系的问题。""根据目前我国高校图书馆板块管理和服务模式所存在 "	SHGT199404005
关于“国际标准书号”的数学研究——从“中国标准书号”谈起	程磊:20025626	3	 	"<正> 根据GB5795—86,中国标准书号制定的""目的在于使在中国注册的出版社所出版的每一种图书的每一个版本都有一个世界性的唯一标识代码,使利用计算机或其他现代化技术进行图书的贸易管理和信息交换得到更高的效率和可靠性,并为图书分类统计和销售陈列工作创 "	SHGT199404006
上海市高校图书馆流通、阅览协作组第四届年会召开		1	 	"<正> 上海市高校图书馆流通、阅览协作组第四届年会于1994年11月24日在复旦大学图书馆召开。来自上海40多所高校的96名代表出席了会议。本次年会共收到论文39篇。年会围绕""读者服务工作现代化""、""文献组织的利用与开发""、资源共享、馆际协作""和""人员培训、队伍建设"" "	SHGT199404007
连续性出版物管理源于邸报收藏与利用说	江乃武:05983769	3	 	"<正> 从最早的连续性出版物单独管理机构——杂志部、期刊部成立时间看,我国的连续性出版物管理工作成型于本世纪20年代末。可是,按其管理对象之发生、发展及被管理的过程考察,其渊源可以上溯至1200多年前。连续性出版物是报纸、期刊、年度出版物、丛刊的集合类型。连续性出版物管理就是对这4个亚类型 "	SHGT199404008
“90年代上海紧缺人才培训工程”介绍	吴光伟:07533731	3	 	"<正> ""90年代上海紧缺人才培训工程""是上海市政府制定的一项具有战略眼光的措施,旨在加快职业技术教育体系的建设,促进教育资源的优化配置,加快办学体制改革,加强民间办学的指导和管理,提高教育质量的重大决策。一、社会需求背景 "	SHGT199404009
继往开来 共图大业——记海峡两岸第二届图书资讯学术研讨会		2	 	"<正> 1994年8月21—24日,海峡两岸第二届图书资讯学术研讨会在北京大学隆重举行,这是继1993年12月13—15日在上海华东师范大学举行的首届海峡两岸图书资讯学术研讨会后又一次盛会。出席这次大会的正式代表和列席代表近百人,其中正式代表共57人,大陆38人,台湾 "	SHGT199404010
图书馆的市场营销管理	许建业:11488199	2	 	"<正> 一、市场营销理念在图书馆中的应用分析图书馆在现实的主要困惑,是图书馆在整个信息产业中到底处于何种位置?在整个信息服务市场中图书馆究竟拥有多大的市场份额?面对用户对于信息产品的多种需求与选择,图书馆服务的优劣势何在?信息服务的突破口何在?这些问题,是图书馆界研讨的焦点。 "	SHGT199404011
市场经济条件下的图书馆现状及对策	韦衣昶:06669851	2	 	"<正> 当前,因经费紧张,图书馆各项工作举步维艰,无论是在文献资源建设、情报服务,还是服务手段方面都陷于危机,如不采取措施,摆脱困境,势必拖了全民文化事业的后腿。一、市场经济条件下的图书馆现状当前,图书馆出现读者数量,文献流通量,文献入藏量日渐减少等不景气现象,究其原因,可归纳为 "	SHGT199404012
试论新形势下西编主要款目的废除	刘萍:10086941	2	 	"<正> 在传统的图书馆编目中,存在着主要款目与附加款目之分。款目是图书著录的结果,是反映图书内客和形式特征的著录项目的组合,而主要就目则是指目录中一种文献的各种款目中著录最先,项目最详细、最完整且有固定标目形式的款目,其标目可以是个人著者名称、机关团体名称、正题名或统一题名。附加款目是指主要款目以外的其他辅助款目,它的著录项目比主要款目略为简单,其标目是取主要款目标目以 "	SHGT199404013
浅析主题标引中的几种常见错误	王宇菁:08522078	3	 	"<正> 所谓主题标引,就是将文献主题的自然语言转换成规范化的检索语言的过程,也就是对文献中具有检索意义的一些内容、特征进行分析著录的全部处理过程。主题标引的好坏,直接影响到主题检索工作的实际效果,正确地掌握标引的方法与遵循标引的步骤,是每个文献标引人员必须具备的基本功。下 "	SHGT199404014
镇江师专图书馆利用亚基会赠书的做法		1	 	"<正> 1993年起,镇江师专图书馆获准接受美国亚洲基金会赠书。该馆在广开书源同时,更注重对受赠图书的管理与利用。其做法是: 首先,加快分编加工。每批赠书到馆后,采访人员及时拆包验收、盖章登录,用极短的时间完成验收, "	SHGT199404015
编目工作的标准化与规范化	陈慧莉:07525299	3	 	"<正> 一编目工作是否标准化、规范化,直接关系到计算机的应用,关系到读者服务质量的高低。我国在1975年出版《中国图书馆图书分类法》(简称《中图法》),十余年间修订了两次。1983年颁布了《文献著录总则》。1985年又颁布了《普通图书著录规则》。《中图法》、《普通图 "	SHGT199404016
图书发行与图书著录标准化	江文忠:07528435	2	 	"<正> 当前,图书出版业呈现出空前的活跃。据国家新闻出版署统计,国家现有出版社已从1979年的300多家发展到目前的543家,每年的各类图书出版物以15%—20%的速度递增。不论从年图书出版总量分析,还是以国民人均图书的拥有量计算,都在加速度地接近世界图书 "	SHGT199404017
中国索引学会第二届年会在长春召开		1	 	"<正> 中国索引学会第二届年会暨学术讨论会于9月10日至13日在长春召开。到会有各地代表近70人。会上,该会第一副理事长暨秘书长葛永庆作了题为《同心协力,继续开创我国索引事业新局面》的工作报告。 "	SHGT199404018
主题标引与机读目录建设	高克平:07527092	2	 	"<正> 据统计,在1990年底,全国高校图书馆已配备小型机和超级微机57台,微机747台,建立了图书馆的内部集成管理系统或来访、编目、流通、检索的单机管理系统,到了1993年底,全国高校图书馆中有70%的图书馆都在计算机管理系统上前进了一大步,不仅把建立图书馆集成系统作为实施计算机管理的目标,而 "	SHGT199404019
我校系(所)资料室的业务评议活动	徐华芬:08576356	2	 	"<正> 我校图书馆在校领导的关心支持下,根据校图情委的具体要求,于1992年6月至1993年初开展了对全校各系(所)资料室的业务交流评议活动。在半年多的时间内,经全体共同努力,取得了一定成效。现就这次评议活动的要求、做法和收获作一介绍。 "	SHGT199404020
谈谈我馆的视听资料工作	周存芝:07158374	2	 	"<正> 早在1987年,国家教委在《普通高等学校图书馆工作规程》中曾要求各馆""积极开展视听阅览等服务项目。""几年来,我国一些高校图书馆相继开展了视听阅览服务。目前,高校图书馆界视听工作及其管理的作法还不尽相同,高校图书馆视听工作仍处在探索开拓中。我馆于1988 "	SHGT199404021
专科学校图书馆藏书不应片面追求数量议	宋小渝:13256490	1	 	"<正> 藏书以数量型发展,这是我国图书馆藏书建设大多遵循的模式。目前,各级各类学校都面临""达标""、""评估"",其图书馆馆藏更不同程度地追求数量。其实,这种观念往往只顾及增加藏书量,以此来达到多种册的目的,却忽略了藏书量的增加对利用率所起的制约作用。藏书的目的在于利用。因此,藏书利用率应成 "	SHGT199404022
图书馆自动化管理模式探讨	王敬福:08264833|沈玉美:08209050	1	 	"<正> 一、小型机管理模式小型机相对微机来讲,速度快、容量大、带用户多,但投资也大,一般图书馆是没有能力购置小型机的,目前,我们国内只有极少数图书馆拥有小型机,在此我们不作讨论。二、微机多用户管理模式多用户系统由主机、终端多用户扩展系统和多用户操作系统组成。微机多用户管理模式是以高档微机 "	SHGT199404023
研究生毕业论文摘编(十五)		1	 	"<正> 本文共分四个部分。第一部分探讨了开展生物医学情报源研究与选择的必要性及生物医学情报源的定义。从医学图书馆的实际出发,分析了影响医学图书馆作用发挥的各种原因,尤其在医学图书馆经费紧张的情况下,生物医学情报源的采访质量问题日益突出,加剧了医学图书馆的供求矛盾,有必 "	SHGT199404024
医学电子信息产品介绍	王卫国:09682720|顾剑芳:09681591|朱永根:08617914	4	 	"<正> 80年代以来,以电子计算机为工作基础的现代信息产业有了长足的进步,特别是随着高密度存贮技术,微电子技术和数字通讯技术三个领域的迅速发展,以计算机和通讯手段相结合的电子信息,以其容量大,功能强,方便检索,传递快速而深受读者的欢迎。由于医学领 "	SHGT199404025
