计算机检索用的逻辑算符,董雅萍:05304309|,5,,,XDTQ198401001
试论高校图书馆计算机化的系统分析与设计,陆皓:10087075|,5,,,XDTQ198401002
一个文献检索应用的数据库管理系统,顾慧芳:21491903|,6,,,XDTQ198401003
计算机检索WPI磁带效果分析,杨京玲:09679503|,4,,,XDTQ198401004
链式索引法与分类检索,姜希强:06263483|,3,,,XDTQ198401005
计算机辅助图书分类系统的设计与试验,莫少强:10506097|,8,,,XDTQ198401006
利用市售MARC磁带建立主题书目查询系统的尝试,安淑兰:08174196|李长毅:08224734|,6,,,XDTQ198401007
日本联机数据库服务系统近况,张保明:14619200|,6,,,XDTQ198401008
澳大利亚图书馆自动化现状,多萝西G·皮克|金壁辉|许儒散:|,4,,,XDTQ198401009
数据结构与管理 第十一章树(续),李云浦|伊凡弗劳利斯:|,5,,,XDTQ198401010
中国环境文献库,吴蔚天:21589762|,6,,,XDTQ198402000
计算机编制《中国机械工程文摘》主题索引,杨则正:01929577|,5,,,XDTQ198402001
资料存储的一种压缩信息的方法,王懋江:12175795|吴振益:12175799|,4,,,XDTQ198402002
B~+树索引文件组织,王慧敏:21373404|,4,,,XDTQ198402003
用 MINISIS建立机读目录系统,黄运雄:09747097|,4,,,XDTQ198402004
联机检索经济效益初探,王兵:09009860|,4,,,XDTQ198402005
用于任意截断查找的KMP算法,李大年:17321707|,5,,,XDTQ198402006
论多语种汉字情报检索系统结构模式和分布式逐段检索法,郭瑞枫:08030530|,3,,,XDTQ198402007
顺序检索中一种简单的匹配方法,姜希强:06263483|,1,,,XDTQ198402008
西文书目系统的联机编目试验,付亚民:06261049|陈怀音:06248304|,7,,,XDTQ198402009
《微型计算机和图书馆技术、产品和应用指南》,胡广翔:|,1,,,XDTQ198402010
WLN/RLG/LC链路系统计划,陈源蒸|韦恩·E·戴维森:|,8,,,XDTQ198402011
医学情报学在建立一个综合—智能医学情报系统中的作用,土盐和北川|相红琴|张燮泉:|,4,,,XDTQ198402012
微机与数据通讯,德尔兰·N·J|镇柯:|,5,,,XDTQ198402014
WD-TQGX微型机图书情报管理系统,张琪玉:08983988|黄凯卿:10140760|,6,,,XDTQ198403000
WD—TQGX文献数据库的设计与压缩措施,周宁:09036529|杨珍菊:09030744|王大可:08984587|刘荣:09013886|张玉峰:10135357|梁芸:09017748|雷春明:10141399|,5,,,XDTQ198403001
一个双向转换表──WPI磁带的代码转换,陈道泉:12175785|,7,,,XDTQ198403002
情报检索与操作系统,姜希强|王大可:|,2,,,XDTQ198403003
HJHXS(环境化学所)情报检索系统,华晓燕:21510233|郭平:21255285|,4,,,XDTQ198403004
自动化情报检索中的若干研究课题,G.萨尔顿|郑友德|王永成:|,4,,情报检索的要素，目前主要出现在文献题录检索，数据库管理和问－答式检索这三类情报系统中。本文简洁地讨论了这些系统在实时处理中产生的某些问题，并且介绍了概率检索新算法研究，文献自动化分析和逻辑提问处理技术等方面的最新进展。,XDTQ198403005
汉字主题索引的自动编制方法,刘春科:21535062|,8,,,XDTQ198403006
福岛方式在中文资料联机检索中的应用,魏树铭:13337251|沈素真:13337265|,3,,,XDTQ198403007
联机情报检索的远距离传输,钟广义:12175807|,4,,,XDTQ198403008
利用计算机进行图书总括登记和图书采购分析,黄镜奇:06356404|,3,,,XDTQ198403009
“日本科学技术文献速报”磁带简介,李晓夏:09521084|于晓光:09519701|于和平:10339329|,3,,,XDTQ198403010
美国三大联机书目系统综述,余光镇:16989049|,6,,,XDTQ198403011
1985年图书馆来用的新技术,郑登理|顾慧芳:|,5,,,XDTQ198403012
《现代情报检索引论》,黄祥喜:|,1,,,XDTQ198403013
CJK终端与计算机编目,陈晓蔷|金燕生|余光镇:|,12,,,XDTQ198404001
汉字点阵字模的存贮和放大技术,雍殿书:08038190|邵品洪:08036959|付大林:08034766|,5,,本文叙述了在大型汉字情报检索系统中，利用存贮的一种基本字模，生成多种尺寸字模的放大技术。,XDTQ198404002
汉字输入计算机的新方法—OCLC的CJK终端系统简介,卢国邦:15341486|王俨:15199145|,3,,,XDTQ198404003
对文献标引若干问题的探讨,邵贻和:20542038|孙积元:20208550|,4,,,XDTQ198404004
化学文献库分面系统性能初试,张俊逸:|,5,,,XDTQ198404005
一种便于文献存贮和检索利用的文献索引—描述符分段,F·W·阿伦|吕杨:|,5,,,XDTQ198404006
世界三大联机系统的比较,王兵:09009860|,8,,,XDTQ198404007
一个多用途的数据库管理系统,L·桑德|符绍宏:|,4,,,XDTQ198404008
关于测定联机目录终端需要量的研究,J·E·特莱|武小青:|,3,,,XDTQ198404009
世界专利索引计算机检索系统计算机辅助文献管理系统通过技术鉴定,庄重九|葛如琛:|,1,,,XDTQ198404010
LASIRS多用户联机情报检索系统鉴定会在京召开,崔大文:|,1,,,XDTQ198404011
跨越大西洋的光纤通信系统开始兴建,蔡曙光:|,1,,,XDTQ198404013
国际标准程序号(ISPN)简介,苏卫平:|,1,,,XDTQ198404014
分布式文献库的研究,方正:08554726|周曾文:08566660|翁惠玉:08573817|,5,,,XDTQ198501001
北京大学图书馆应用计算机系统分析报告(摘要),陈源蒸:06260064|,7,,图书馆应用计算机，需进行系统分析，写出报告。在此基础上方可做系统设计。内在这方面有各种做法，尚无成熟的经验，现发表本文供参考。,XDTQ198501002
IBM信息检索软件STAIRS,晁芳:15798460|,12,,,XDTQ198501003
提高建立中文数据库效率的新尝试,魏树铭:13337265|顾建成:13337229|,5,,,XDTQ198501004
微型计算机中文图书资料检索管理系统介绍,李铁亮:10030581|沈晓丽:10140454|李保瑞:10030579|,5,,,XDTQ198501005
谈谈建立缩微工作室的几个问题,李昭智:09643491|刘凤志:13373171|,4,,,XDTQ198501006
非书资料与非书资料著录,李俊宣:06393755|,3,,,XDTQ198501007
《图书馆员用自动化导论》出版,宋小冬:|,1,,,XDTQ198501008
ISDS采用的标准简介,李召奋:16268046|白阳:15766134|,3,,,XDTQ198501009
微电子计算机的发展现状及在图书情报工作中的应用,周山:21552796|,4,,,XDTQ198501010
法国国家图书馆提供UNIMARC磁带,邵科:|,1,,,XDTQ198501011
国际机读目录计划-德国图书馆的组织和活动,D.沃尔夫|邵科|崔大文:|,4,,,XDTQ198501012
美国DIACOG系统84—85年新增加的文档目录,丁维华:|,2,,,XDTQ198501013
JKJ计算机科学技术文献库系统,张伟|王能琴|刘琪|赵桂田|景玉峰:|,7,,,XDTQ198502000
北京地区西文新书联合通报将于今年下半年正式发行,澄泰:|,1,,,XDTQ198502001
从MARC磁带的构造探讨机读磁带的记录结构设计问题,安树兰:08224735|,10,,,XDTQ198502002
关于中国参加国际连续出版物数据系统(ISDS)与实现我国期刊编目计算机化,朱岩:17322484|,5,,,XDTQ198502003
中国科学院物理学情报网成立,辛力:|,1,,,XDTQ198502004
谈谈流通系统设计与应用的一些问题,王津生:06269964|齐亚新:06270438|,6,,,XDTQ198502005
“Menu”的汉译名,晏章军:|,1,,,XDTQ198502006
微型计算机在公共图书馆的使用,珍妮·爱萨克|宋文:|,2,,,XDTQ198502007
机建主题词表的实现,张蔚栴:|,4,,,XDTQ198502008
试论文献缩微品的编码方法,何绍熹:16041191|,4,,,XDTQ198502009
MINISIS开始处理UNIMARC记录,贾经建:|,1,,,XDTQ198502010
一种由光盘与缩微摄影相结合的复合信息存贮系统,藤原卓利|刘径:|,2,,,XDTQ198502011
国外音像新技术,姜育义:|,2,,,XDTQ198502012
ANSI　ANSC　Z39及其标准,陈胜芳:15836046|,4,,,XDTQ198502013
Heaps算法与菊池敏典算法比较,袁名敦:06366573|,3,,,XDTQ198502014
微电子计算机的发展现状及在图书情报工作中的应用(二),周山:13611060|,5,,,XDTQ198502015
ACT公司推出第四代个人计算机,薛逊:|,1,,,XDTQ198502017
介绍两本台湾版图书馆自动化的书,沈迪飞:|,2,,,XDTQ198502018
书目系统检索点的结构及其建议,董成泰:06255310|,7,,,XDTQ198503000
高效的字符串匹配──一种适用于书目检索的好方法,王永成:08518881|楼佩玮:08538717|王金丽:09601264|,6,,,XDTQ198503001
日本全国各大学期刊联合目录库的建设,李大年:17321707|,4,,,XDTQ198503002
